Team;Player;Event;Mins;Secs;X;Y;X2;Y2;recep;Result
Excursio;Ongaro;Perdida;18;19;79;48;-;-;;
Excursio;Lujan;PM;18;33;17;75;29;71;;
Excursio;Muriano;PB;18;41;25;52;44;73;Chiarelli;
Excursio;Muriano;Recuperacion;18;40;24;51;-;-;;
Excursio;Chiarelli;PB;18;43;44;71;34;68;Hancevic;
Excursio;Hancevic;PM;18;45;34;68;58;74;;
Excursio;Hancevic;Perdida;18;52;75;52;-;-;;
Excursio;Ayala;Falta;19;0;46;49;-;-;;
Excursio;Escobar;PB;19;45;11;58;11;68;Lujan;
Excursio;Lujan;PB;19;51;11;71;75;76;Millaci;
Excursio;Millaci;PB;19;55;77;92;96;71;Chiarelli;
Excursio;Chiarelli;Perdida;20;0;96;87;-;-;;
Excursio;Vives;Recuperacion;20;6;55;53;-;-;;
Excursio;Vives;Perdida;20;6;66;49;-;-;;
Excursio;Ongaro;Falta;20;15;62;6;-;-;;
Excursio;Vives;Recuperacion;20;43;18;33;-;-;;
Excursio;Vives;PB;20;43;17;30;55;42;Millaci;
Excursio;Millaci;PM;20;44;53;40;57;57;;
Excursio;Lujan;PM;20;55;12;76;33;91;;
Excursio;Bustos;Lateral;21;7;25;98;61;88;;
Excursio;Vives;PM;21;20;18;60;46;67;;
Excursio;Millaci;Recuperacion;21;22;56;64;-;-;;
Excursio;Millaci;PB;21;22;57;65;58;81;Chiarelli;
Excursio;Ongaro;PB;22;6;41;8;56;11;Gallardo;
Excursio;Ongaro;Lateral;22;19;51;1;55;8;;
Excursio;Ongaro;Lateral;22;42;55;1;82;23;;
Excursio;Chiarelli;PB;22;43;82;24;90;19;;
Excursio;Gallardo;PM;22;45;99;36;96;44;;
Excursio;Gallardo;Recuperacion;23;23;41;19;-;-;;
Excursio;Gallardo;PB;23;23;41;19;24;17;Vives;
Excursio;Vives;PM;23;25;21;20;27;20;;
Excursio;Vives;Perdida;23;25;27;18;-;-;;
Midland;-;Atajada;23;31;8;21;4;48;;
Excursio;Escobar;PB;23;39;7;49;12;25;Vives;
Excursio;Vives;PB;23;43;12;25;18;4;Ongaro;
Excursio;Ongaro;PB;23;46;19;4;48;15;Chiarelli;
Excursio;Chiarelli;PB;23;50;47;14;75;20;Millaci;
Excursio;Millaci;PB;23;56;91;19;86;36;Gallardo;
Excursio;Gallardo;Tiro;24;0;94;33;96;42;;Block
Excursio;Bustos;Tiro;24;1;96;55;99;54;;Gol
Excursio;Vives;PB;25;10;6;39;12;48;Hancevic;
Excursio;Hancevic;PM;25;13;12;47;24;45;;
Excursio;Ongaro;Recuperacion;25;20;2;12;-;-;;
Excursio;Ongaro;PB;25;23;1;12;5;3;Gallardo;
Excursio;Gallardo;Perdida;25;26;7;1;-;-;;
Excursio;Vives;Saque de arco;25;53;5;37;4;48;;
Excursio;Escobar;PB;25;58;5;48;52;94;Bustos;
Excursio;Bustos;PB;26;0;53;94;37;89;Hancevic;
Excursio;Hancevic;PM;26;5;48;79;51;74;;
Excursio;Hancevic;Perdida;26;5;51;74;-;-;;
Excursio;Gallardo;Recuperacion;26;17;51;29;-;-;;
Excursio;Gallardo;PB;26;23;51;25;64;23;Millaci;
Excursio;Millaci;PB;26;25;59;6;33;11;Vives;
Excursio;Vives;PM;26;30;32;11;48;48;;
Excursio;Hancevic;Perdida;26;31;48;46;-;-;;
Excursio;Ayala;Recuperacion;26;32;37;47;-;-;;
Excursio;Ayala;PM;26;36;42;30;58;18;;
Excursio;Ayala;Perdida;26;36;57;18;-;-;;
Excursio;Lujan;PB;26;41;25;67;40;70;Hancevic;
Excursio;Lujan;Tiro libre;27;3;39;74;30;53;;
Excursio;Ayala;PB;27;6;30;52;33;29;Vives;
Excursio;Vives;PB;27;9;28;20;57;24;Gallardo;
Excursio;Gallardo;PM;27;10;58;24;54;27;;
Excursio;Gallardo;Perdida;27;10;54;27;-;-;;
Excursio;Lujan;Recuperacion;27;18;27;52;-;-;;
Excursio;Lujan;PB;27;20;27;52;35;38;Ayala;
Excursio;Ayala;PB;27;21;34;39;37;48;Hancevic;
Excursio;Hancevic;PB;27;23;37;48;46;33;Ayala;
Excursio;Ayala;PB;27;25;45;33;60;26;Millaci;
Excursio;Millaci;PB;27;27;61;26;51;25;Ayala;
Excursio;Ayala;PB;27;29;49;28;44;8;Ongaro;
Excursio;Ongaro;Perdida;27;32;45;6;-;-;;
Excursio;Hancevic;PM;27;52;12;64;48;91;;
Excursio;Lujan;Lateral;28;34;49;98;93;90;;
Excursio;Lujan;Lateral;29;6;93;99;94;49;;
Excursio;Ongaro;Lateral;29;29;72;1;92;33;;
Excursio;Millaci;PM;29;30;92;34;93;43;;
Excursio;Vives;PM;29;41;16;75;19;99;;
Excursio;Ongaro;PB;30;7;19;61;13;54;Vives;
Excursio;Vives;PB;30;9;13;49;46;74;Millaci;
Excursio;Millaci;PM;30;16;66;92;87;89;;
Excursio;Ongaro;PB;30;56;41;23;51;28;Muriano;
Excursio;Muriano;PB;31;1;51;29;56;35;Gallardo;
Excursio;Gallardo;PM;31;1;56;35;59;28;;
Excursio;Ongaro;Recuperacion;31;18;13;37;-;-;;
Excursio;Ongaro;PB;31;20;13;38;27;34;Gallardo;
Excursio;Gallardo;PB;31;22;27;36;44;76;Chiarelli;
Excursio;Chiarelli;PM;31;24;44;77;61;74;;
Excursio;Chiarelli;Perdida;31;24;46;77;-;-;;
Excursio;Gallardo;Recuperacion;31;58;14;30;-;-;;
Excursio;Gallardo;PB;32;0;23;30;17;30;Ayala;
Excursio;Ayala;PM;32;6;16;30;39;6;;
Excursio;Millaci;Recuperacion;32;7;31;0;-;-;;
Excursio;Ongaro;Lateral;32;33;27;1;48;7;;
Excursio;Millaci;PM;32;35;47;5;45;19;;
Excursio;Millaci;Perdida;32;35;45;20;-;-;;
Excursio;Muriano;Recuperacion;32;41;41;19;-;-;;
Excursio;Muriano;PB;32;41;40;20;46;17;Millaci;
Excursio;Millaci;PB;32;41;46;20;45;11;Gallardo;
Excursio;Gallardo;PB;32;45;44;10;39;20;Ayala;
Excursio;Ayala;PB;32;47;38;22;30;12;Ongaro;
Excursio;Ongaro;PB;32;48;29;14;23;26;Vives;
Excursio;Vives;PB;32;53;22;28;23;79;Lujan;
Excursio;Lujan;PM;32;54;22;80;56;79;;
Excursio;Lujan;Perdida;32;58;55;79;-;-;;
Excursio;Vives;Perdida;33;1;25;35;-;-;;
Excursio;Vives;PB;33;3;25;35;30;18;Ongaro;
Excursio;Ongaro;PB;33;6;27;20;47;4;Gallardo;
Excursio;Gallardo;PM;33;10;54;14;54;22;;
Excursio;Ayala;PB;33;12;51;24;58;39;Hancevic;
Excursio;Hancevic;PM;33;16;63;44;81;50;;
Excursio;Hancevic;Perdida;33;14;66;48;-;-;;
Excursio;Muriano;Recuperacion;33;45;43;56;-;-;;
Excursio;Muriano;PB;33;47;43;65;63;86;Chiarelli;
Excursio;Chiarelli;PB;33;53;67;86;96;73;;
Excursio;Muriano;PM;33;55;96;72;95;68;;
Excursio;Muriano;Corner;34;35;100;99;96;39;;
Excursio;Millaci;PM;34;38;98;25;96;51;;
Excursio;Ongaro;PM;34;44;78;26;88;17;;
Excursio;Muriano;PM;35;7;54;33;65;35;;
Excursio;Bustos;Falta recibida;35;13;58;74;-;-;;
Excursio;Hancevic;Tiro libre;35;47;59;74;-;-;;
Excursio;Lujan;PB;35;50;58;77;46;41;Vives;
Excursio;Vives;PM;35;55;47;41;87;70;;
Excursio;Vives;Perdida;36;0;86;68;-;-;;
Excursio;Lujan;Recuperacion;36;0;66;69;-;-;;
Excursio;Lujan;PB;36;0;65;70;80;86;Bustos;
Excursio;Bustos;PB;36;1;79;85;82;72;Hancevic;
Excursio;Hancevic;PB;36;2;83;69;90;64;;
Excursio;Millaci;Tiro;36;5;95;63;100;56;;Gol
Midland;-;Tiro recibido;37;3;6;47;0;45;;
Excursio;Bustos;PM;37;1;5;59;5;49;;
Excursio;Millaci;PB;37;32;50;51;32;49;Ayala;
Excursio;Ayala;PB;37;35;32;50;16;59;Lujan;
Excursio;Lujan;PM;37;42;16;57;81;63;;
Excursio;Lujan;Perdida;37;43;86;63;-;-;;
Excursio;Ayala;Recuperacion;37;47;42;51;-;-;;
Excursio;Muriano;PB;37;49;47;49;43;29;Ongaro;
Excursio;Ongaro;PB;37;51;44;29;64;30;Chiarelli;
Excursio;Chiarelli;PB;37;51;64;29;63;19;Muriano;
Excursio;Muriano;PB;37;58;93;24;87;53;;
Excursio;Gallardo;Tiro;38;2;87;42;99;50;;Arco
Excursio;Bustos;Recuperacion;38;10;69;86;-;-;;
Excursio;Bustos;PB;38;16;72;79;84;95;Hancevic;
Excursio;Hancevic;Perdida;38;21;84;97;-;-;;
Excursio;Bustos;Lateral;40;24;79;99;87;89;;
Excursio;Hancevic;Perdida;40;33;86;90;-;-;;
Excursio;Millaci;Recuperacion;40;46;74;7;-;-;;
Excursio;Millaci;PB;40;50;75;20;74;34;Gallardo;
Excursio;Gallardo;PM;40;52;75;34;83;30;;
Excursio;Gallardo;Perdida;40;59;82;31;-;-;;
Excursio;Ongaro;Recuperacion;40;56;55;6;-;-;;
Excursio;Ongaro;PB;40;57;56;7;62;13;Muriano;
Excursio;Muriano;PM;41;0;61;12;70;5;;
Excursio;Ongaro;Lateral;41;12;60;0;74;8;;
Excursio;Ongaro;Falta;41;15;54;17;-;-;;
Excursio;Escobar;Saque de arco;42;17;5;62;59;84;;
Excursio;Bustos;PM;42;20;59;82;73;71;;
Excursio;Bustos;Perdida;42;20;73;72;-;-;;
Excursio;Ongaro;Recuperacion;42;22;47;38;-;-;;
Excursio;Ongaro;PB;42;24;48;38;58;46;Muriano;
Excursio;Muriano;PM;42;27;66;45;76;46;;
Excursio;Muriano;Perdida;42;27;75;46;-;-;;
Excursio;Lujan;PM;42;41;28;80;55;38;;
Excursio;Chiarelli;PB;43;20;2;35;28;3;Gallardo;
Excursio;Gallardo;Falta recibida;43;29;39;2;-;-;;
Excursio;Ongaro;Tiro libre;43;42;39;3;87;49;;
Excursio;Escobar;Atajada;43;55;2;74;-;-;;
Excursio;Escobar;Recuperacion;43;55;2;74;-;-;;
Excursio;Escobar;PB;44;12;11;69;75;74;Chiarelli;
Excursio;Chiarelli;Tiro;44;15;88;72;98;49;;Arco
Excursio;Muriano;Corner;44;49;100;1;93;2;;
Excursio;Gallardo;PB;44;52;91;2;79;25;Ayala;
Excursio;Ayala;PB;44;55;80;25;95;66;Millaci;
Excursio;Millaci;PM;44;56;95;67;93;52;;
Excursio;Bustos;PB;45;2;62;51;84;46;Ongaro;
Excursio;Ongaro;PB;45;4;84;42;88;60;Millaci;
Excursio;Millaci;PB;45;12;98;85;93;54;Gallardo;
Excursio;Gallardo;Perdida;45;12;93;52;-;-;;
Excursio;Ayala;Recuperacion;45;14;71;50;-;-;;
Excursio;Ayala;Tiro;45;16;70;51;75;49;;Block
Excursio;Muriano;Lateral;45;45;75;0;93;37;;
Excursio;Hancevic;Tiro;45;46;94;37;98;46;;Arco
Excursio;Vives;Recuperacion;46;0;32;31;-;-;;
Excursio;Vives;PB;46;0;32;36;23;24;Ongaro;
Excursio;Ongaro;PB;46;3;25;24;41;26;Muriano;
Excursio;Muriano;PM;46;5;42;25;47;39;;
Excursio;Muriano;Perdida;46;5;46;41;-;-;;
Excursio;Lujan;Lateral;46;51;20;98;58;72;;
Excursio;Muriano;PB;46;57;34;65;26;47;Vives;
Excursio;Vives;PM;47;2;24;48;55;17;;
Excursio;Hancevic;Recuperacion;47;11;32;59;-;-;;
